,Tipe,gunungapi,Latitude (LU),Longitude (BT),Regional,Unnamed: 0,item,gunung,tinggi,vsi,regionalLabel,koordinat
0,A,Seulawah Agam,5.447027994,95.65666358,Sumatera,,,,,,,
1,A,Peut Sague,4.902609074,96.28886262,Sumatera,,,,,,,
2,A,Burni Telong,4.766994746,96.82422669,Sumatera,,,,,,,
3,A,Sinabung,3.169904788,98.39104079,Sumatera,,,,,,,
4,A,Sorik Marapi,0.685780837,99.53632632,Sumatera,,,,,,,
5,A,Marapi,-0.391069384,100.4570978,Sumatera,,,,,,,
6,A,Tandikat,-0.431490023,100.3193004,Sumatera,,,,,,,
7,A,Talang,-0.980094317,100.6804559,Sumatera,,,,,,,
8,A,Kerinci,-1.696001331,101.267191,Sumatera,,,,,,,
9,A,Dempo,-4.015894231,103.1214734,Sumatera,,,,,,,
10,A,Kaba,-3.515538289,102.6265569,Sumatera,,,,,,,
11,A,Anak Krakatau,-6.102814112,105.4227935,Sumatera,,,,,,,
12,A,Sumbing,-7.38332572,110.0736235,Jawa,,,,,,,
13,A,Salak,-6.718083923,106.7133289,Jawa,,,,,,,
14,A,Gede,-6.787805208,106.9822764,Jawa,,,,,,,
15,A,Tangkuban Parahu,-6.759896118,107.6152292,Jawa,,,,,,,
16,A,Guntur,-7.155590265,107.8512825,Jawa,,,,,,,
17,A,Papandayan,-7.316928827,107.7316372,Jawa,,,,,,,
18,A,Galunggung,-7.257617498,108.0774905,Jawa,,,,,,,
19,A,Ciremai,-6.895490405,108.4077264,Jawa,,,,,,,
20,A,Slamet,-7.241794426,109.2149242,Jawa,,,,,,,
21,A,Dieng,-7.218344903,109.9065725,Jawa,,,,,,,
22,A,Sundoro,-7.301527462,109.9969899,Jawa,,,,,,,
23,A,Merapi,-7.541306693,110.4462709,Jawa,,,,,,,
24,A,Kelud,-7.937587708,112.3041603,Jawa,,,,,,,
25,A,Arjuno Welirang,-7.733569069,112.5747094,Jawa,,,,,,,
26,A,Bromo,-7.942861078,112.9529657,Jawa,,,,,,,
27,A,Semeru,-8.112845362,112.9247627,Jawa,,,,,,,
28,A,Lamongan,-7.981687298,113.3404621,Jawa,,,,,,,
29,A,Raung,-8.120162504,114.0560329,Jawa,,,,,,,
30,A,Ijen,-8.058562053,114.2425739,Jawa,,,,,,,
31,A,Batur,-8.240401401,115.3779051,Bali - Nusa Tenggara,,,,,,,
32,A,Agung,-8.343979117,115.5074817,Bali - Nusa Tenggara,,,,,,,
33,A,Rinjani/Barujari,-8.411110523,116.4231587,Bali - Nusa Tenggara,,,,,,,
34,A,Tambora,-8.246972746,117.9932045,Bali - Nusa Tenggara,,,,,,,
35,A,Sangeangapi,-8.197824981,119.0693541,Bali - Nusa Tenggara,,,,,,,
36,A,Inielika,-8.74059062,120.976483,Bali - Nusa Tenggara,,,,,,,
37,A,Inierie,-8.878225846,120.9560381,Bali - Nusa Tenggara,,,,,,,
38,A,Ebulobo,-8.816140078,121.1913248,Bali - Nusa Tenggara,,,,,,,
39,A,Kelimutu,-8.765969827,121.8148982,Bali - Nusa Tenggara,,,,,,,
40,A,Iya,-8.894767723,121.6387191,Bali - Nusa Tenggara,,,,,,,
41,A,Rokatenda,-8.333086352,121.7067653,Bali - Nusa Tenggara,,,,,,,
42,A,Egon,-8.6783677,122.4539051,Bali - Nusa Tenggara,,,,,,,
43,A,Lewotobi Laki-laki,-8.538096425,122.767356,Bali - Nusa Tenggara,,,,,,,
44,A,Lewotobi Perempuan,-8.551993699,122.7801716,Bali - Nusa Tenggara,,,,,,,
45,A,Lereboleng,-8.368342132,122.8357748,Bali - Nusa Tenggara,,,,,,,
46,A,Ili boleng,-8.343403645,123.2523701,Bali - Nusa Tenggara,,,,,,,
47,A,Ili Lewotolok,-8.273658589,123.5083982,Bali - Nusa Tenggara,,,,,,,
48,A,Ili Werung,-8.531772125,123.5735912,Bali - Nusa Tenggara,,,,,,,
49,A,Batutara,-7.78981002,123.5874918,Bali - Nusa Tenggara,,,,,,,
50,A,Sirung,-8.498083986,124.1310892,Bali - Nusa Tenggara,,,,,,,
51,A,Hobal (BL),-8.554417714,123.6393482,Bali - Nusa Tenggara,,,,,,,
52,A,Anak Ranakah,-8.633779123,120.533081,Bali - Nusa Tenggara,,,,,,,
53,A,Wetar,-6.636496433,126.6589508,Maluku,,,,,,,
54,A,Nieuwerkerk (BL),-6.433416594,125.2424214,Maluku,,,,,,,
55,A,Wurlali,-7.121143759,128.6838694,Maluku,,,,,,,
56,A,Teon,-6.962425692,129.1436887,Maluku,,,,,,,
57,A,Nila,-6.750945934,129.5167356,Maluku,,,,,,,
58,A,Serua,-6.312678607,130.0165886,Maluku,,,,,,,
59,A,Banda api,-4.523056139,129.8796485,Maluku,,,,,,,
60,A,Dukono,1.698673271,127.8780167,Maluku,,,,,,,
61,A,Ibu,1.492408538,127.6336703,Maluku,,,,,,,
62,A,Gamkonora,1.377222741,127.5325285,Maluku,,,,,,,
63,A,Gamalama,0.809689539,127.332358,Maluku,,,,,,,
64,A,Kie Besi,0.322824084,127.398041,Maluku,,,,,,,
65,A,Colo,-0.170455785,121.6024919,Sulawesi,,,,,,,
66,A,Ambang,0.748960869,124.4220153,Sulawesi,,,,,,,
67,A,Soputan,1.11450903,124.73779,Sulawesi,,,,,,,
68,A,Lokon,1.363851491,124.7992179,Sulawesi,,,,,,,
69,A,Mahawu,1.352763581,124.8626591,Sulawesi,,,,,,,
70,A,Tangkoko,1.514796316,125.1853563,Sulawesi,,,,,,,
71,A,Ruang,2.30390855,125.367031,Sulawesi,,,,,,,
72,A,Karangetang,2.777022186,125.4060951,Sulawesi,,,,,,,
73,A,Awu,3.681553458,125.454054,Sulawesi,,,,,,,
74,A,Banua Wuhu (BL),3.049348592,125.6706912,Sulawesi,,,,,,,
