item,gunung,tinggi,vsi,regionalLabel,koordinat
http://www.wikidata.org/entity/Q40981,Gunung Geureudong,2885,261050,,Point(96.816666666 4.813055555)
http://www.wikidata.org/entity/Q42174,Gunung Rajabasa,1281,261290,,Point(105.625 -5.783333333)
http://www.wikidata.org/entity/Q781529,Gunung Soputan,1952,266030,,Point(124.736 1.112)
http://www.wikidata.org/entity/Q2382787,Gunung Ebulobo,2124,264100,,Point(121.18 -8.82)
http://www.wikidata.org/entity/Q4180299,Bukit Daun,2467,261210,,Point(102.37 -3.38)
http://www.wikidata.org/entity/Q12763633,Burni Telong,2617,261050,,Point(96.8211 4.768889)
http://www.wikidata.org/entity/Q571805,Gunung Baluran,1247,263351,,Point(114.362222222 -7.846388888)
http://www.wikidata.org/entity/Q2003801,Bratan,2276,264001,,Point(115.133333333 -8.283333333)
http://www.wikidata.org/entity/Q2020545,Gunung Tampomas,1684,263131,,Point(107.95 -6.77)
http://www.wikidata.org/entity/Q12506955,Pulau Tidore,408,268061,,Point(127.41141 0.68874)
http://www.wikidata.org/entity/Q385596,Gunung Egon,1703,264160,,Point(122.45 -8.666666666)
http://www.wikidata.org/entity/Q456619,Ambang,1795,266020,,Point(124.415833333 0.7575)
http://www.wikidata.org/entity/Q538300,Gunung Lamongan,1651,263320,,Point(113.342 -7.979)
http://www.wikidata.org/entity/Q856301,Bukit Bibinoi,900,268073,,Point(127.716666666 -0.766666666)
http://www.wikidata.org/entity/Q2155367,Gunung Talang,2597,261160,,Point(100.6925 -0.986)
http://www.wikidata.org/entity/Q29595,Gunung Seulawah Agam,1810,261020,,Point(95.658 5.448)
http://www.wikidata.org/entity/Q507179,Gunung Ceremai,3078,263170,,Point(108.4 -6.891944444)
http://www.wikidata.org/entity/Q665399,Gunung Arjuno,3339,263290,,Point(112.589722222 -7.765)
http://www.wikidata.org/entity/Q829440,Mount Besar,1899,261250,,Point(103.666666666 -4.433333333)
http://www.wikidata.org/entity/Q1972311,Dieng Volcanic Complex,2565,263200,,Point(109.92 -7.2)
http://www.wikidata.org/entity/Q2038462,Gunung Sindara,3136,263210,,Point(109.996666666 -7.301111111)
http://www.wikidata.org/entity/Q2162588,Gunung Sempu,1549,266040,,Point(124.758 1.13)
http://www.wikidata.org/entity/Q2328794,Gunung Poco Leok,1675,264070,,Point(120.48 -8.68)
http://www.wikidata.org/entity/Q2352524,Gunung Ine Lika,1559,264090,,Point(120.98 -8.73)
http://www.wikidata.org/entity/Q2549314,Iyang-Argapura,3088,263330,,Point(113.57 -7.97)
http://www.wikidata.org/entity/Q8523823,Hulubelu,1040,261280,,Point(104.6 -5.35)
http://www.wikidata.org/entity/Q580131,Gunung Slamet,3428,263180,,Point(109.22 -7.239)
http://www.wikidata.org/entity/Q791817,Gunung Awu,1320,267040,,Point(125.45387 3.68128)
http://www.wikidata.org/entity/Q1073134,Gunung Papandayan,2665,263100,,Point(107.715702777 -7.328969444)
http://www.wikidata.org/entity/Q1087196,Gunung Sumbing,2507,261180,,Point(101.728 -2.414)
http://www.wikidata.org/entity/Q1087336,Gunung Lubukraya,1862,261111,,Point(99.209 1.478)
http://www.wikidata.org/entity/Q1145123,Gunung Gede,2958,263060,,Point(106.981666666 -6.788333333)
http://www.wikidata.org/entity/Q1193306,Gunung Klabat,1995,266120,,Point(125.030833333 1.453333333)
http://www.wikidata.org/entity/Q1493157,Gunung Gamkonora,1635,268040,,Point(127.53 1.38)
http://www.wikidata.org/entity/Q2181214,Gunung Kamojang,1730,263805,,Point(107.8 -7.125)
http://www.wikidata.org/entity/Q2786660,Dataran Malang,680,263292,,Point(112.68 -8.02)
http://www.wikidata.org/entity/Q2933735,Gunung Tondano,1202,266070,,Point(124.83 1.23)
http://www.wikidata.org/entity/Q123157,Gunung Telomoyo,1894,263231,,Point(110.4 -7.37)
http://www.wikidata.org/entity/Q383862,Gunung Lurus,539,263321,,Point(113.580277777 -7.739166666)
http://www.wikidata.org/entity/Q455404,Bukit Amasing,1030,268072,,Point(127.498055555 -0.532222222)
http://www.wikidata.org/entity/Q806237,Gunung Api Banda,362,265090,,Point(129.871388888 -4.525)
http://www.wikidata.org/entity/Q4175476,Gunung Ililabalekan,1018,264240,,Point(123.38 -8.55)
http://www.wikidata.org/entity/Q4180889,Jailolo,1130,268051,,Point(127.42 1.08)
http://www.wikidata.org/entity/Q4986919,Bukit Lumut Balai,2055,261240,,Point(103.62 -4.22)
http://www.wikidata.org/entity/Q6924047,Gunung Tarakan,318,268001,,Point(127.83 1.83)
http://www.wikidata.org/entity/Q7811550,Tobaru,1035,268020,,Point(127.67 1.63)
http://www.wikidata.org/entity/Q8523728,Imun,1505,261101,,Point(98.93 2.158)
http://www.wikidata.org/entity/Q11737565,Kawi-Butak,2868,263281,,Point(112.45 -7.92)
http://www.wikidata.org/entity/Q12773636,Perbakti-Gagak,1699,263040,,Point(106.7 -6.75)
http://www.wikidata.org/entity/Q29559,Gunung Sorik Marapi,2145,261120,,Point(99.539 0.686)
http://www.wikidata.org/entity/Q40692,Gunung Tandikat,2438,261150,,Point(100.317136111 -0.432583333)
http://www.wikidata.org/entity/Q42118,Gunung Pulosari,1346,263010,,Point(105.975 -6.342)
http://www.wikidata.org/entity/Q43876,Gunung Batur,1717,264010,,Point(115.375 -8.241944444)
http://www.wikidata.org/entity/Q82613,Krakatau,813,262000,,Point(105.423 -6.102)
http://www.wikidata.org/entity/Q126717,Gunung Telaga Bodas,2201,263150,,Point(108.07 -7.208)
http://www.wikidata.org/entity/Q134108,Gunung Merapi,2910,263250,,Point(110.446111111 -7.541388888)
http://www.wikidata.org/entity/Q150081,Gunung Kaba,1940,261220,,Point(102.62 -3.52)
http://www.wikidata.org/entity/Q158470,Gunung Agung,3031,264020,,Point(115.507777777 -8.341944444)
http://www.wikidata.org/entity/Q168714,Gunung Tambora,2850,264040,,Point(117.992777777 -8.245277777)
http://www.wikidata.org/entity/Q183360,Danau Toba,900,261090,,Point(98.887222222 2.679722222)
http://www.wikidata.org/entity/Q207678,Gunung Sinabung,2460,261080,,Point(98.391944444 3.17)
http://www.wikidata.org/entity/Q270158,Semeru,3676,263300,,Point(112.921944444 -8.107777777)
http://www.wikidata.org/entity/Q513216,Gunung Kelud,1731,263280,,Point(112.305555555 -7.933333333)
http://www.wikidata.org/entity/Q537391,Gunung Kembar,2245,261810,,Point(97.664 3.85)
http://www.wikidata.org/entity/Q548489,Gunung Ijen,2769,263350,,Point(113.989166666 -8.3125)
http://www.wikidata.org/entity/Q587915,Gunung Kie Besi,1357,268070,,Point(127.366666666 0.333333333)
http://www.wikidata.org/entity/Q598893,Gunung Merbabu,3142,263240,,Point(110.44 -7.455)
http://www.wikidata.org/entity/Q669559,Gunung Salak,2211,263050,,Point(106.733611111 -6.715833333)
http://www.wikidata.org/entity/Q670643,Gunung Malabar,2343,263081,,Point(107.65 -7.13)
http://www.wikidata.org/entity/Q675072,Gunung Kendang,2608,263110,,Point(107.72 -7.23)
http://www.wikidata.org/entity/Q807010,Banua Wuhu,-5,267030,,Point(125.490555555 3.137777777)
http://www.wikidata.org/entity/Q811048,Gunung Batutara,748,264260,,Point(123.579166666 -7.791666666)
http://www.wikidata.org/entity/Q815632,Gunung Belirang-Beriti,1958,261200,,Point(102.183333333 -2.816666666)
http://www.wikidata.org/entity/Q847323,Rinjani,3726,264030,,Point(116.466666666 -8.416666666)
http://www.wikidata.org/entity/Q911748,Gunung Galunggung,2168,263140,,Point(108.0770588 -7.2567315)
http://www.wikidata.org/entity/Q956331,Gunung Wilis,2563,263270,,Point(111.758 -7.808)
http://www.wikidata.org/entity/Q1048813,Weh,617,261800,,Point(95.28 5.82)
http://www.wikidata.org/entity/Q1053413,Gunung Karangetang,1784,267020,,Point(125.4075 2.777777777)
http://www.wikidata.org/entity/Q1083948,Gunung Serua,641,265070,,Point(130.0 -6.3)
http://www.wikidata.org/entity/Q1087355,Gunung Sibualbuali,1819,261110,,Point(99.255 1.556)
http://www.wikidata.org/entity/Q1110232,Colo,507,266010,,Point(121.608 -0.17)
http://www.wikidata.org/entity/Q1186618,Gunung Dempo,3173,261230,,Point(103.13 -4.03)
http://www.wikidata.org/entity/Q1190569,Gunung Tangkuban Perahu,2084,263090,,Point(107.6 -6.77)
