,item,gunung,tinggi,tipe,regional,vsi,lattitude,longitude,koordinat
57,http://www.wikidata.org/entity/Q158470,Agung,3031,A,Bali-Nusa Tenggara,261050,-8.343979117,115.5074817,Point(96.816666666 4.813055555)
11,http://www.wikidata.org/entity/Q456619,Ambang,1795,A,Sulawesi,261290,0.748960869,124.4220153,Point(105.625 -5.783333333)
98,http://www.wikidata.org/entity/Q2205302,Anak Krakatau,110,A,Sumatera,266030,-6.102814112,105.4227935,Point(124.736 1.112)
,,Anak Ranakah,2100,A,Bali-Nusa Tenggara,,-8.633779123,120.533081,
40,http://www.wikidata.org/entity/Q806237,Api Banda,362,A,Maluku,264100,-4.523056139,129.8796485,Point(121.18 -8.82)
17,http://www.wikidata.org/entity/Q665399,Arjuno,3339,A,Jawa,261050,-7.733569069,112.5747094,Point(96.8211 4.768889)
27,http://www.wikidata.org/entity/Q791817,Awu,1320,A,Sulawesi,263351,3.681553458,125.454054,Point(114.362222222 -7.846388888)
52,http://www.wikidata.org/entity/Q43876,Batur,1717,A,Bali-Nusa Tenggara,268061,-8.240401401,115.3779051,Point(127.41141 0.68874)
71,http://www.wikidata.org/entity/Q811048,Batutara,748,A,Bali-Nusa Tenggara,264160,-7.78981002,123.5874918,Point(122.45 -8.666666666)
,,Bromo,2329,A,Jawa,,-7.942861078,112.9529657,
5,http://www.wikidata.org/entity/Q12763633,Burni Telong,2617,A,Sumatera,263290,4.766994746,96.82422669,Point(112.589722222 -7.765)
16,http://www.wikidata.org/entity/Q507179,Ceremai,3078,A,Jawa,261250,-6.895490405,108.4077264,Point(103.666666666 -4.433333333)
80,http://www.wikidata.org/entity/Q1110232,Colo,507,A,Sulawesi,263200,-0.170455785,121.6024919,Point(109.92 -7.2)
81,http://www.wikidata.org/entity/Q1186618,Dempo,3173,A,Sumatera,264090,-4.015894231,103.1214734,Point(120.98 -8.73)
19,http://www.wikidata.org/entity/Q1972311,Dieng Volcanic Complex,2565,A,Jawa,263330,-7.218344903,109.9065725,Point(113.57 -7.97)
101,http://www.wikidata.org/entity/Q2340739,Dukono,1335,A,Maluku,261280,1.698673271,127.8780167,Point(104.6 -5.35)
3,http://www.wikidata.org/entity/Q2382787,Ebulobo,2124,A,Bali-Nusa Tenggara,263180,-8.816140078,121.1913248,Point(109.22 -7.239)
10,http://www.wikidata.org/entity/Q385596,Egon,1703,A,Bali-Nusa Tenggara,267040,-8.6783677,122.4539051,Point(125.45387 3.68128)
74,http://www.wikidata.org/entity/Q911748,Galunggung,2168,A,Jawa,263100,-7.257617498,108.0774905,Point(107.715702777 -7.328969444)
86,http://www.wikidata.org/entity/Q1467910,Gamalama,1715,A,Maluku,261180,0.809689539,127.332358,Point(101.728 -2.414)
33,http://www.wikidata.org/entity/Q1493157,Gamkonora,1635,A,Maluku,261111,1.377222741,127.5325285,Point(99.209 1.478)
31,http://www.wikidata.org/entity/Q1145123,Gede,2958,A,Jawa,263060,-6.787805208,106.9822764,Point(106.981666666 -6.788333333)
114,http://www.wikidata.org/entity/Q2735753,Guntur,2249,A,Jawa,268040,-7.155590265,107.8512825,Point(127.53 1.38)
,,Hobal,,A,Bali-Nusa Tenggara,,-8.554417714,123.6393482,
109,http://www.wikidata.org/entity/Q2573469,Ibu,1325,A,Maluku,263231,1.492408538,127.6336703,Point(110.4 -7.37)
64,http://www.wikidata.org/entity/Q548489,Ijen,2769,A,Jawa,263321,-8.058562053,114.2425739,Point(113.580277777 -7.739166666)
103,http://www.wikidata.org/entity/Q2364075,Iliboleng,1659,A,Bali-Nusa Tenggara,268072,-8.343403645,123.2523701,Point(127.498055555 -0.532222222)
,,Ililewotok,,A,Bali-Nusa Tenggara,,-8.273658589,123.5083982,
108,http://www.wikidata.org/entity/Q2483640,Iliwerung,1018,A,Bali-Nusa Tenggara,268051,-8.531772125,123.5735912,Point(127.42 1.08)
23,http://www.wikidata.org/entity/Q2352524,Ine Lika,1559,A,Bali-Nusa Tenggara,268001,-8.74059062,120.976483,Point(127.83 1.83)
126,http://www.wikidata.org/entity/Q4175389,Inierie,2245,A,Bali-Nusa Tenggara,268020,-8.878225846,120.9560381,Point(127.67 1.63)
99,http://www.wikidata.org/entity/Q2236900,Iya,637,A,Bali-Nusa Tenggara,261101,-8.894767723,121.6387191,Point(98.93 2.158)
56,http://www.wikidata.org/entity/Q150081,Kaba,1940,A,Sumatera,261120,-3.515538289,102.6265569,Point(99.539 0.686)
77,http://www.wikidata.org/entity/Q1053413,Karangetang,1784,A,Sulawesi,264010,2.777022186,125.4060951,Point(115.375 -8.241944444)
88,http://www.wikidata.org/entity/Q1738211,Kelimutu,1639,A,Bali-Nusa Tenggara,263150,-8.765969827,121.8148982,Point(108.07 -7.208)
62,http://www.wikidata.org/entity/Q513216,Kelud,1731,A,Jawa,263250,-7.937587708,112.3041603,Point(110.446111111 -7.541388888)
,,Kerinci,3805,A,Sumatera,,-1.696001331,101.267191,
65,http://www.wikidata.org/entity/Q587915,Kie Besi,1357,A,Maluku,264040,0.322824084,127.398041,Point(117.992777777 -8.245277777)
53,http://www.wikidata.org/entity/Q82613,Krakatau,813,A,Sumatera,261080,-6.102,105.423,Point(98.391944444 3.17)
12,http://www.wikidata.org/entity/Q538300,Lamongan,1651,A,Jawa,263280,-7.981687298,113.3404621,Point(112.305555555 -7.933333333)
105,http://www.wikidata.org/entity/Q2396057,Leroboleng,1095,A,Bali-Nusa Tenggara,263350,-8.368342132,122.8357748,Point(113.989166666 -8.3125)
,,Lewotobi Laki-laki,1584,A,Bali-Nusa Tenggara,,-8.368342132,122.8357748,
,,Lewotobi Perempuan,1703,A,Bali-Nusa Tenggara,,-8.538096425,122.767356,
,,Lokon,1580,A,Sulawesi,,1.363851491,124.7992179,
119,http://www.wikidata.org/entity/Q3043015,Mahawu,1324,A,Sulawesi,263110,1.352763581,124.8626591,Point(107.72 -7.23)
92,http://www.wikidata.org/entity/Q1960702,Marapi,2891,A,Sumatera,264260,-0.391069384,100.4570978,Point(123.579166666 -7.791666666)
55,http://www.wikidata.org/entity/Q134108,Merapi,2910,A,Jawa,261200,-7.541306693,110.4462709,Point(102.183333333 -2.816666666)
,,Nieuwerkerk (BL),0,A,Maluku,,-6.433416594,125.2424214,
106,http://www.wikidata.org/entity/Q2432393,Nila,781,A,Maluku,267020,-6.750945934,129.5167356,Point(125.4075 2.777777777)
28,http://www.wikidata.org/entity/Q1073134,Papandayan,2665,A,Jawa,265070,-7.316928827,107.7316372,Point(130.0 -6.3)
,,Peut Sague,2801,A,Sumatera,,4.902609074,96.28886262,
94,http://www.wikidata.org/entity/Q2033748,Raung,3260,A,Jawa,264230,-8.120162504,114.0560329,Point(123.505 -8.272)
